game,item,t bracket,t point,Bin busy a,Bin busy b,Bin busy a/t,Bin busy b/t,Bin busy net,Codacabana a,Codacabana b,Codacabana a/t,Codacabana b/t,Codacabana net,AsianSuperNerds a,AsianSuperNerds b,AsianSuperNerds a/t,AsianSuperNerds b/t,AsianSuperNerds net,error404 ai a,error404 ai b,error404 ai a/t,error404 ai b/t,error404 ai net
74,13,"[181, 200)",191,171,121,0.89,0.64,"1,208",181,191,0.95,1.00,"1,814",141,79,0.74,0.42,595,181,200,0.95,1.05,"1,609"
74,14,"[112, ∞)",112,105,92,0.93,0.82,707,112,105,1.00,0.93,"1,040",84,30,0.75,0.26,172,100,112,0.89,1.00,834
74,15,"[520, ∞)",520,520,30,1.00,0.06,"4,676",426,30,0.82,0.06,"3,035",153,170,0.29,0.33,"-1,667",410,30,0.79,0.06,"2,751"
74,16,"[1,505, ∞)","1,505",225,30,0.15,0.02,"-5,295","1,174",30,0.78,0.02,"11,328",69,30,0.05,0.02,"-8,013","1,505",30,1.00,0.02,"17,107"
74,17,"[506, ∞)",506,368,30,0.73,0.06,"2,964",180,30,0.36,0.06,-334,506,30,1.00,0.06,"5,363",301,30,0.59,0.06,"1,775"
74,18,"[364, ∞)",364,161,30,0.44,0.08,445,-,30,-,0.08,"-2,376",100,131,0.28,0.36,-498,364,30,1.00,0.08,"3,998"
74,19,"[558, ∞)",558,558,30,1.00,0.05,"4,237",428,30,0.77,0.05,"1,952",519,509,0.93,0.91,"4,580",546,30,0.98,0.05,"4,033"
74,20,"[314, 362)",338,362,30,1.07,0.09,"-1,930",251,30,0.74,0.09,"2,098",309,338,0.91,1.00,"3,721",410,30,1.21,0.09,"-1,882"
74,21,"[177, ∞)",177,123,30,0.70,0.17,536,135,130,0.76,0.73,905,177,152,1.00,0.86,"1,927",136,30,0.77,0.17,758
74,22,"[54, 60)",57,66,22,1.15,0.38,-91,44,26,0.77,0.45,539,51,57,0.90,1.00,720,91,22,1.60,0.38,-40
74,23,"[0, 86)",43,-,43,-,1.00,0,-,43,-,1.00,0,-,43,-,1.00,0,-,43,-,1.00,0
74,24,"[187, ∞)",187,174,30,0.93,0.16,"1,237",142,30,0.76,0.16,690,187,174,1.00,0.93,"1,975",164,30,0.88,0.16,"1,065"
74,25,"[0, 55)",28,102,28,3.70,1.00,204,86,28,3.09,1.00,256,108,201,3.89,7.27,-484,73,28,2.64,1.00,219
74,26,"[0, 60)",30,-,30,-,1.00,0,-,30,-,1.00,0,133,30,4.45,1.00,133,-,30,-,1.00,0
74,27,"[0, 60)",30,323,30,10.78,1.00,323,265,30,8.82,1.00,530,-,323,-,10.78,"-1,758",273,30,9.11,1.00,546
74,28,"[0, 60)",30,207,30,6.89,1.00,414,172,30,5.72,1.00,344,208,207,6.94,6.89,-762,137,30,4.55,1.00,273
74,29,"[491, ∞)",491,491,30,1.00,0.06,"4,624",394,30,0.80,0.06,"2,926",450,30,0.92,0.06,"3,907",455,30,0.93,0.06,"4,004"
74,30,"[0, 60)",30,398,30,13.28,1.00,398,308,30,10.25,1.00,308,-,398,-,13.28,"-1,965",319,30,10.62,1.00,319
74,31,"[0, 59)",30,132,30,4.44,1.00,132,90,30,3.03,1.00,180,59,43,2.00,1.44,119,228,30,7.66,1.00,228
75,1,"[475, ∞)",475,396,415,0.83,0.87,"1,259",475,448,1.00,0.94,"3,279",438,462,0.92,0.97,"2,419",331,352,0.70,0.74,-634
75,2,"[0, 45)",22,282,22,12.52,1.00,282,128,22,5.67,1.00,255,328,22,14.60,1.00,328,291,22,12.95,1.00,291
75,3,"[0, 61)",30,-,30,-,1.00,0,278,30,9.12,1.00,278,-,30,-,1.00,0,-,30,-,1.00,0
75,4,"[0, 45)",22,88,22,3.92,1.00,176,68,22,3.00,1.00,135,-,22,-,1.00,0,109,22,4.86,1.00,109
75,5,"[225, ∞)",225,218,225,0.97,1.00,"1,220",218,225,0.97,1.00,"1,222",212,225,0.94,1.00,"1,126",164,168,0.73,0.75,-433
75,6,"[246, 288)",267,197,209,0.74,0.78,405,85,107,0.32,0.40,"-2,006",246,265,0.92,0.99,"1,811",198,169,0.74,0.63,212
75,7,"[520, 561)",541,471,490,0.87,0.91,"4,038",332,616,0.61,1.14,-428,616,595,1.14,1.10,"-3,602",354,128,0.66,0.24,651
75,8,"[58, 70)",64,144,104,2.26,1.64,-517,70,76,1.10,1.20,60,104,123,1.64,1.93,-244,58,9,0.90,0.14,572
75,9,"[68, 76)",72,83,83,1.16,1.16,-454,90,83,1.25,1.16,-614,66,72,0.91,1.00,573,63,7,0.88,0.10,286
75,10,"[609, ∞)",609,253,223,0.42,0.37,-904,270,267,0.44,0.44,-105,213,221,0.35,0.36,"-1,709",488,58,0.80,0.10,"2,783"
75,11,"[225, ∞)",225,176,166,0.78,0.74,557,180,187,0.80,0.83,710,225,210,1.00,0.93,"1,785",119,68,0.53,0.30,-930
75,12,"[269, ∞)",269,233,234,0.87,0.87,897,250,255,0.93,0.95,"1,430",269,32,1.00,0.12,676,199,86,0.74,0.32,-521
75,13,"[0, 45)",22,284,22,12.64,1.00,284,98,22,4.33,1.00,98,-,22,-,1.00,0,164,22,7.29,1.00,164
75,14,"[0, 69)",34,633,34,18.34,1.00,633,164,34,4.74,1.00,327,226,34,6.56,1.00,226,-,34,-,1.00,0
75,15,"[0, 45)",22,224,22,9.96,1.00,224,82,22,3.67,1.00,82,248,22,11.03,1.00,248,200,22,8.90,1.00,200
75,16,"[585, 643)",614,530,480,0.86,0.78,"1,059",585,612,0.95,1.00,"4,201",542,575,0.88,0.94,"2,893",580,366,0.95,0.60,"1,721"
75,17,"[192, ∞)",192,147,165,0.77,0.86,423,135,136,0.70,0.71,-75,177,172,0.92,0.90,"1,023",152,33,0.80,0.17,-171
75,18,"[83, ∞)",83,63,64,0.77,0.77,7,79,78,0.95,0.94,483,-,83,-,1.00,-819,69,54,0.83,0.65,41
76,1,"[599, ∞)",599,476,459,0.79,0.77,"1,646",599,599,1.00,1.00,"4,882",599,599,1.00,1.00,"4,879",368,367,0.61,0.61,-629
76,2,"[522, ∞)",522,447,487,0.86,0.93,"1,017",522,513,1.00,0.98,"3,066",507,522,0.97,1.00,"2,807",513,522,0.98,1.00,"2,914"
76,3,"[246, ∞)",246,200,207,0.81,0.84,-53,233,246,0.95,1.00,"1,196",220,229,0.89,0.93,613,237,208,0.96,0.85,687
76,4,"[79, 151)",115,65,67,0.57,0.58,-25,79,78,0.69,0.68,429,151,79,1.31,0.69,-724,76,61,0.67,0.53,136
76,5,"[122, ∞)",122,98,19,0.80,0.16,-265,92,66,0.75,0.54,-358,94,94,0.76,0.77,-192,99,65,0.81,0.53,-230
76,6,"[1,813, ∞)","1,813","1,302","1,461",0.72,0.81,"1,606","1,690","1,722",0.93,0.95,"10,655","1,631","1,629",0.90,0.90,"8,810","1,200",538,0.66,0.30,"-4,699"
76,7,"[575, 670)",623,550,623,0.88,1.00,"5,049",563,560,0.90,0.90,"4,406",536,557,0.86,0.89,"3,659",571,207,0.92,0.33,"3,574"
76,8,"[56, 60)",58,76,107,1.32,1.85,115,51,26,0.88,0.46,572,56,63,0.97,1.10,677,297,26,5.15,0.44,571
76,9,"[146, ∞)",146,125,125,0.85,0.85,-115,139,135,0.95,0.93,521,128,128,0.87,0.87,61,132,96,0.90,0.66,-171
76,10,"[167, ∞)",167,150,34,0.90,0.20,72,161,162,0.96,0.97,947,157,157,0.94,0.94,804,167,141,1.00,0.84,824
76,11,"[0, 69)",34,173,34,5.00,1.00,173,135,34,3.91,1.00,135,170,34,4.94,1.00,170,-,34,-,1.00,0
76,12,"[2,600, ∞)","2,600","1,942","2,141",0.75,0.82,"3,447","2,600","2,477",1.00,0.95,"19,496","2,381","2,600",0.92,1.00,"15,769","2,477",653,0.95,0.25,"6,337"
76,13,"[258, 265)",261,453,420,1.73,1.61,"1,620",550,566,2.10,2.16,"-2,413",491,509,1.88,1.95,-29,585,163,2.24,0.63,928
76,14,"[335, ∞)",335,308,323,0.92,0.97,"1,345",300,335,0.90,1.00,"1,380",-,335,-,1.00,"-3,720",335,179,1.00,0.53,342
76,15,"[79, ∞)",79,64,66,0.80,0.84,-3,70,70,0.88,0.89,209,-,79,-,1.00,-832,71,72,0.89,0.91,255
76,16,"[0, 21)",11,-,11,-,1.00,0,-,11,-,1.00,0,0,11,0.00,1.00,0,-,11,-,1.00,0
76,17,"[0, 38)",19,76,19,3.97,1.00,228,38,19,2.00,1.00,153,58,19,3.04,1.00,174,273,19,14.28,1.00,273
77,1,"[50, 52)",51,49,51,0.95,1.00,539,50,51,0.98,0.98,566,49,26,0.94,0.50,420,88,26,1.71,0.50,11
77,2,"[28, 32)",30,23,23,0.75,0.76,19,26,27,0.87,0.89,138,19,8,0.65,0.27,-96,24,18,0.81,0.61,5
77,3,"[287, ∞)",287,234,243,0.81,0.85,-668,287,279,1.00,0.97,"1,293",265,181,0.92,0.63,-673,248,84,0.86,0.29,"-1,052"
77,4,"[0, 6)",3,26,17,8.89,5.79,131,52,61,17.47,20.46,-102,22,11,7.42,3.66,120,26,17,8.74,5.79,128
77,5,"[81, ∞)",81,58,59,0.72,0.73,52,81,71,1.00,0.88,653,-,81,-,1.00,-724,71,54,0.88,0.66,258
77,6,"[0, 48)",24,433,218,17.99,9.05,-568,450,433,18.70,17.99,"-1,989",168,119,6.97,4.93,785,144,161,5.98,6.69,195
77,7,"[0, 45)",22,-,22,-,1.00,0,-,22,-,1.00,0,-,22,-,1.00,0,-,22,-,1.00,0
77,8,"[0, 19)",9,66,9,7.09,1.00,66,19,10,2.00,1.07,38,-,9,-,1.00,0,-,9,-,1.00,0
77,9,"[0, 24)",12,73,12,6.09,1.00,73,24,13,2.00,1.08,48,-,12,-,1.00,0,-,12,-,1.00,0
77,10,"[0, 38)",19,137,19,7.18,1.00,137,103,19,5.38,1.00,206,74,19,3.86,1.00,221,164,19,8.59,1.00,164
77,11,"[0, 14)",7,57,7,7.91,1.00,57,15,7,2.08,1.00,30,-,7,-,1.00,0,-,7,-,1.00,0
77,12,"[0, 23)",12,93,12,8.08,1.00,93,37,12,3.20,1.00,74,-,12,-,1.00,0,-,12,-,1.00,0
77,13,"[0, 29)",14,255,14,17.62,1.00,255,188,14,12.95,1.00,188,96,14,6.62,1.00,192,137,14,9.44,1.00,137
77,14,"[0, 45)",22,123,22,5.48,1.00,123,90,22,4.00,1.00,180,88,22,3.93,1.00,177,-,22,-,1.00,0
77,15,"[0, 180)",90,249,90,2.76,1.00,497,206,90,2.29,1.00,412,265,90,2.95,1.00,531,-,90,-,1.00,0
77,16,"[0, 32)",16,-,16,-,1.00,0,-,16,-,1.00,0,41,16,2.52,1.00,41,82,16,5.09,1.00,82
78,1,"[41, 56)",49,41,8,0.85,0.16,505,250,8,5.15,0.16,35,101,94,2.08,1.92,-132,56,184,1.15,3.79,-218
78,2,"[35, 52)",43,52,8,1.19,0.17,179,250,8,5.75,0.17,118,101,90,2.32,2.08,-129,56,181,1.29,4.16,-208
78,3,"[0, 20)",10,88,10,8.69,1.00,352,250,10,24.72,1.00,500,101,101,9.99,10.02,-104,112,250,11.09,24.72,-646
78,4,"[0, 18)",9,91,9,10.29,1.00,363,250,9,28.34,1.00,500,101,100,11.46,11.35,-97,110,250,12.42,28.34,-642
78,5,"[0, 5)",2,20,2,8.21,1.00,99,250,2,103.52,1.00,250,101,175,41.85,72.46,-93,-,250,-,103.52,-545
78,6,"[9, 10)",10,9,1,0.90,0.05,108,250,1,26.29,0.05,208,9,1,0.90,0.05,108,10,136,1.10,14.28,-34
78,7,"[19, 23)",21,23,2,1.10,0.08,27,250,2,11.80,0.08,184,98,2,4.64,0.08,131,28,61,1.34,2.87,-11
78,8,"[0, 4)",2,16,2,8.75,1.00,98,250,2,133.33,1.00,250,95,2,50.79,1.00,190,28,62,15.15,33.20,-17
78,9,"[635, ∞)",635,485,514,0.76,0.81,"1,024",250,84,0.39,0.13,"-4,648",540,548,0.85,0.86,"2,225",383,514,0.60,0.81,-702
78,10,"[352, 374)",363,234,146,0.65,0.40,69,250,24,0.69,0.07,320,352,329,0.97,0.91,"3,274",244,266,0.67,0.73,"1,001"
78,11,"[250, ∞)",250,72,11,0.29,0.04,-410,250,11,1.00,0.04,"2,707",90,11,0.36,0.04,-93,72,54,0.29,0.21,-369
78,12,"[81, 92)",87,64,66,0.74,0.75,513,-,3,-,0.04,-757,-,92,-,1.06,-597,47,58,0.55,0.66,164
78,13,"[48, 53)",50,53,2,1.05,0.03,47,-,2,-,0.03,-270,-,150,-,2.99,-556,24,86,0.48,1.72,119
78,14,"[0, 1)",1,20,1,28.81,1.00,40,-,1,-,1.00,0,0,1,0.00,1.00,0,27,1,39.03,1.00,55
78,15,"[119, ∞)",119,119,3,1.00,0.03,"1,049",-,3,-,0.03,"-1,030",46,48,0.39,0.41,-164,53,71,0.45,0.60,7
78,16,"[30, 59)",44,97,4,2.18,0.08,215,250,4,5.63,0.08,425,7,6,0.17,0.14,54,115,250,2.59,5.63,-422
78,17,"[30, ∞)",30,12,2,0.41,0.06,39,-,2,-,0.06,-178,17,2,0.57,0.06,125,7,2,0.24,0.06,-50
78,18,"[0, 155)",77,503,524,6.51,6.78,310,250,77,3.23,1.00,"2,750",540,551,6.98,7.13,"-1,018",398,524,5.14,6.78,260
78,19,"[0, 2)",1,64,1,60.05,1.00,64,-,1,-,1.00,0,-,1,-,1.00,0,50,1,46.81,1.00,150
78,20,"[12, 18)",15,12,4,0.78,0.25,145,-,4,-,0.25,-59,0,4,0.00,0.25,-59,18,4,1.22,0.25,-23
78,21,"[56, 60)",58,62,42,1.07,0.72,37,250,8,4.31,0.14,266,56,57,0.97,0.98,795,60,42,1.03,0.72,89
78,22,"[0, 151)",75,265,75,3.52,1.00,794,250,75,3.32,1.00,750,199,75,2.64,1.00,597,212,75,2.81,1.00,635
